Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-03-04,The Apartment,1960,https://boxd.it/90Yy8Z,4,,bring back REAL yearners like cc baxter!,,2025-03-03
2025-03-08,Erin Brockovich,2000,https://boxd.it/93so21,5,,julia robert’s,,2025-03-07
2025-03-08,Spy,2015,https://boxd.it/93wBFD,5,,"i’ve probably watched this movie over ten times at this point, there should easily be 3 more SPY movies by now!",,2025-03-07
2025-04-18,Everything Everywhere All at Once,2022,https://boxd.it/9rhD6B,4.5,,"that was amazing, beautiful, extraordinary.. i loved it",,2025-04-17
2025-04-23,Sinners,2025,https://boxd.it/9uMJFB,4.5,,"i’ve never watched to rewatch a movie so soon after watching it for the first time.. this was fantastic. i’ve never seen such an accurate depiction of how different communities in the south operate with and around each other. i’ve grown up and live around, but watching this movie is definitely the first time i’ve seen it on such a large scale. and those deep south accents weren’t too bad lol. obviously Michael B. Jordan leads this movie, but Delroy Mindo, Miles Canton, and Wunmi Mosaku… come and get your flowers. also, the power and message of our music in this film, wow Ryan Coogler.. literally just wow.",,2025-04-22
2025-05-03,Cloudy with a Chance of Meatballs,2009,https://boxd.it/9Ao6sT,3.5,,classic!,,2025-05-02
2025-05-26,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/9OcCbR,4,,"seeing this in imax was insane, the scenes on the plane were insane. tom cruise has a death wish, but the movies won’t let him die!",,2025-05-26
2025-05-31,Captain America: Brave New World,2025,https://boxd.it/9RcJ67,3,,"this movie looks visually insane (derogatory) and was definitely rushed, but this is a perfect three-star movie! y’all overly hated this idk!",,2025-05-30
2025-06-05,One of Them Days,2025,https://boxd.it/9UkRcb,4,,"i can’t tell you the last time i’ve laughed at loud at a movie, i need this to be a trilogy ASAP!",,2025-06-04
2025-07-05,Love Accidentally,2022,https://boxd.it/adsnH1,2.5,,"sometimes you really just need to watch a terrible movie and this one was it, i loved it!",,2025-07-04
2025-07-05,Picture This,2025,https://boxd.it/adx9Ub,3.5,,"the things i do to support simone ashley.. this was cute but could’ve been a lot better? i feel like we missed a lot of the romance between the two characters we were supposed to be rooting for. loved the relationships between the best friend and her family, would actually watch another movie that focused on them lol.",,2025-07-04
2025-07-05,Simply Irresistible,1999,https://boxd.it/adE3kb,3,,i love an odd romcom and a three-star movie… this was exactly that!,,2025-07-04
2025-07-05,The Thomas Crown Affair,1999,https://boxd.it/adIVK1,4,,the bowler hats.. i really liked this,,2025-07-04
2025-07-06,Taxi,2004,https://boxd.it/ae34ah,3.5,,this movie is sooo silly and queen latifah is kinda the most charming person in the world if you really think about it!,,2025-07-05
2025-07-07,Ford v Ferrari,2019,https://boxd.it/aeNt4Z,4.5,,this movie is ridiculously good. the most evil man you know being named beebe.. that’s crazy! christian bale as ken miles is one of my favorite things that i’ve ever seen.,,2025-07-06
2025-07-07,Fight Club,1999,https://boxd.it/aeUq55,,,what did i just watch..,,2025-07-06
2025-07-08,Jurassic World Dominion,2022,https://boxd.it/afZDuB,3,,when the locust caught fire and started spreading i finally accepted the ridiculousness of this movie and started to enjoy it again.,,2025-07-07
2025-07-16,Confessions of a Shopaholic,2009,https://boxd.it/am225z,4,,this is an almost perfect romcom!,,2025-07-16
2025-08-26,Eenie Meanie,2025,https://boxd.it/aRNcMB,3.5,,"eenie never did anything wrong and honestly deserves the world, just when she thought she was about to have everything she needed… that idiot had to pull the rug from underneath once again.",,2025-08-25
2025-08-28,Can You Keep a Secret?,2019,https://boxd.it/aT03IF,2,,alexandra daddario 🤝 starring in terrible romantic comedies (i mean this as a compliment),,2025-08-27
2025-09-19,Second Act,2018,https://boxd.it/b6Q3Sh,3,,"a C+ rom com movie is actually five stars, but this was not a rom com so my rating will have to stay as is. the idea of the nephew dropping out of Stanford.. please",,2025-09-18
2025-09-28,Opus,2025,https://boxd.it/bcog1X,3,,"beautiful gowns, not much else. ayo edebri we will get you in a good movie soon!",,2025-09-27
2025-09-29,A Wrinkle in Time,2018,https://boxd.it/bd9Ds7,1.5,,"genuinely can’t believe that this was a real movie that got released in real life, a two hour movie that still somehow felt incomplete",,2025-09-28
2025-10-02,The Naked Gun,2025,https://boxd.it/beRqVd,3.5,,THE DUCHESS,,2025-10-01
2025-10-04,Pretty Woman,1990,https://boxd.it/bfROyL,4.5,,"it’s a classic for a reason, julia roberts everyone!",,2025-10-03
2025-10-14,Plus One,2019,https://boxd.it/bmIAav,3.5,,both of them are kinda equally annoying so i’m glad that they were able to realize that love each other.,,2025-10-13
2025-10-15,The Favor,1994,https://boxd.it/bn2Uip,3,,kathy is absolutely insane and an annoying friend. i literally thought some of her real life actions were a part of her dream sequences..,,2025-10-13
2025-10-15,Take Care,2014,https://boxd.it/bn37MH,3.5,,everything happened exactly as it needed to i fear… i support women’s rights and wrongs!,,2025-10-14
2025-10-16,The Accidental Husband,2008,https://boxd.it/bnOJnf,2.5,,i looove a terrible romcom and this one has all the parts to make a perfect one! neither of the men in this movie ever did anything to ever convince me that they loved emma but i appreciated the effort! also the premise… diabolical!,,2025-10-15
2025-10-18,Mr. Wonderful,1993,https://boxd.it/boZ2H3,3,,"funny face is still seeking mr. wonderful

this movie is so soft and sweet! definitely a romcom you can rewatch all the time.",,2025-10-17
2025-10-19,Almost Famous,2000,https://boxd.it/bpDzet,4.5,,"hey so this movie is kinda incredible? you wouldn’t think it would be as great going in but wow, that was really great. i’m so happy",,2025-10-18
2025-10-20,Stay the Night,2022,https://boxd.it/bqIQ2N,3,,good for grace!,,2025-10-19
2025-10-27,Superman,2025,https://boxd.it/bvdsUz,3.5,,david corenswet was born to play superman! this is a lovable movie and i need a mr. terrific series on my desk immediately,,2025-10-26
2025-10-27,Babygirl,2024,https://boxd.it/bvjIJJ,2.5,,the christmas tree lighting during jacob’s panic attack was the highlight of the movie,,2025-10-26
2025-10-27,Mickey 17,2025,https://boxd.it/bvsbR9,4,,all hail queen nasha,,2025-10-26
2025-10-27,What's Your Number?,2011,https://boxd.it/bvx8Jh,4,,bring back low budget and fun romcoms with actors who have ridiculous chemistry PLEASE! i’m begging!,,2025-10-26
