Date,Name,Year,Letterboxd URI,Rating
2025-01-02,Inside Out 2,2024,https://boxd.it/CFrC,4
2025-01-02,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3.5
2025-01-02,Conclave,2024,https://boxd.it/AO8q,3
2025-01-03,Call Me by Your Name,2017,https://boxd.it/dYmm,4
2025-01-03,Uptown Girls,2003,https://boxd.it/1N64,5
2025-01-03,"I, Tonya",2017,https://boxd.it/dzR0,4
2025-01-04,Me Before You,2016,https://boxd.it/9n98,3
2025-01-04,The Northman,2022,https://boxd.it/nK2s,4.5
2025-01-04,Arrival,2016,https://boxd.it/aNGk,5
2025-01-08,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,4
2025-01-18,The Broken Hearts Gallery,2020,https://boxd.it/mNja,4
2025-01-20,Things We Lost in the Fire,2007,https://boxd.it/24YW,4
2025-01-20,Bounce,2000,https://boxd.it/1VcO,3
2025-01-25,The Wild Robot,2024,https://boxd.it/IWFy,5
2025-01-25,Barb & Star Go to Vista Del Mar,2021,https://boxd.it/lX9M,4
2025-01-25,Dinner in America,2020,https://boxd.it/oinu,2.5
2025-02-15,What Happens in Vegas,2008,https://boxd.it/1Zlq,3
2025-02-15,White House Down,2013,https://boxd.it/3TOg,2
2025-02-15,"Corrina, Corrina",1994,https://boxd.it/1Wcq,3.5
2025-02-15,While You Were Sleeping,1995,https://boxd.it/27wm,5
2025-02-16,Hope Floats,1998,https://boxd.it/1XYU,3
2025-02-16,Autumn in New York,2000,https://boxd.it/1VKG,3
2025-02-17,Secretary,2002,https://boxd.it/1URc,3
2025-02-17,Moonstruck,1987,https://boxd.it/27zg,5
2025-02-17,Waiting to Exhale,1995,https://boxd.it/1jhc,5
2025-02-23,The Owl and the Pussycat,1970,https://boxd.it/Wvg,3.5
2025-02-23,"What's Up, Doc?",1972,https://boxd.it/21iy,5
2025-02-25,The Bridges of Madison County,1995,https://boxd.it/29Os,4
2025-03-01,Unknown,2011,https://boxd.it/JbW,2.5
2025-03-01,Traitor,2008,https://boxd.it/1Qu4,2.5
2025-03-02,Jerry Maguire,1996,https://boxd.it/1YNS,4
2025-03-04,Fear,1996,https://boxd.it/1W0a,3
2025-03-04,The Apartment,1960,https://boxd.it/2aGE,4
2025-03-08,Erin Brockovich,2000,https://boxd.it/2al2,4.5
2025-03-08,Spy,2015,https://boxd.it/71Ks,5
2025-04-18,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2025-04-23,Sinners,2025,https://boxd.it/KQMM,4.5
2025-05-03,Kung Fu Panda,2008,https://boxd.it/1Yws,4
2025-05-26,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,4
2025-05-31,Captain America: Brave New World,2025,https://boxd.it/uYDm,3
2025-06-05,One of Them Days,2025,https://boxd.it/MReU,4
2025-07-05,Love Accidentally,2022,https://boxd.it/Am2E,2.5
2025-07-05,Picture This,2025,https://boxd.it/JINg,3.5
2025-07-05,Simply Irresistible,1999,https://boxd.it/1KFK,3
2025-07-05,The Thomas Crown Affair,1999,https://boxd.it/29im,4
2025-07-06,Taxi,2004,https://boxd.it/1UMc,3.5
2025-07-07,Ford v Ferrari,2019,https://boxd.it/ce74,4.5
2025-07-08,Jurassic World Dominion,2022,https://boxd.it/ikXW,3
2025-07-16,Confessions of a Shopaholic,2009,https://boxd.it/1E9e,4
2025-08-26,The Map That Leads to You,2025,https://boxd.it/O5uk,3
2025-08-26,Eenie Meanie,2025,https://boxd.it/HxdC,3.5
2025-08-28,Can You Keep a Secret?,2019,https://boxd.it/jAma,2
2025-09-19,Second Act,2018,https://boxd.it/ibU0,3
2025-09-28,Opus,2025,https://boxd.it/JBMA,3
2025-09-29,A Wrinkle in Time,2018,https://boxd.it/el46,1.5
2025-10-02,The Naked Gun,2025,https://boxd.it/Da9k,3.5
2025-10-04,Pretty Woman,1990,https://boxd.it/2b6M,4.5
2025-10-14,Plus One,2019,https://boxd.it/inpo,3.5
2025-10-15,The Favor,1994,https://boxd.it/DAw,3
2025-10-15,Take Care,2014,https://boxd.it/7qJY,3.5
2025-10-16,The Accidental Husband,2008,https://boxd.it/1Qfy,2.5
2025-10-16,One Small Hitch,2013,https://boxd.it/5b14,0.5
2025-10-18,Mr. Wonderful,1993,https://boxd.it/1i8y,3
2025-10-19,Almost Famous,2000,https://boxd.it/29CQ,4.5
2025-10-19,Labor Pains,2009,https://boxd.it/1Ewi,2
2025-10-20,Stay the Night,2022,https://boxd.it/zd58,3
2025-10-21,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,4
2025-10-27,Superman,2025,https://boxd.it/E9IU,3.5
2025-10-27,Babygirl,2024,https://boxd.it/Fvai,2.5
2025-10-27,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-10-27,What's Your Number?,2011,https://boxd.it/6P4,4
2025-10-28,Life As We Know It,2010,https://boxd.it/162S,3
2025-11-15,Now You See Me,2013,https://boxd.it/2Bsu,4
2025-11-15,Jurassic World Rebirth,2025,https://boxd.it/KUeE,1.5
2025-11-15,Now You See Me 2,2016,https://boxd.it/99fw,3
2025-11-26,Thunderbolts*,2025,https://boxd.it/BfbQ,4
2025-11-26,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,4
2025-11-26,The Marvels,2023,https://boxd.it/mwU4,3
2025-11-27,Spotlight,2015,https://boxd.it/a84k,4
2025-11-28,The Master,2012,https://boxd.it/2cBG,3
2025-11-30,Caught Stealing,2025,https://boxd.it/LnyS,4
2025-12-01,Madame Web,2024,https://boxd.it/nwD0,2
2025-12-02,First Daughter,2004,https://boxd.it/1P0W,2
2025-12-08,Drive Me Crazy,1999,https://boxd.it/1O7s,4
2025-12-11,Bride Hard,2025,https://boxd.it/Gx0w,1.5
2025-12-15,The Philadelphia Story,1940,https://boxd.it/29a8,4.5
2025-12-17,Wake Up Dead Man,2025,https://boxd.it/uAKS,4
2025-12-17,Materialists,2025,https://boxd.it/GZlW,3
2025-12-17,Dreamgirls,2006,https://boxd.it/293m,5
2025-12-17,The Incredibles,2004,https://boxd.it/1XLm,5
2025-12-18,This Is Spinal Tap,1984,https://boxd.it/1UOs,4
2025-12-18,In the Mood for Love,2000,https://boxd.it/29tE,4.5
2025-12-18,It Happened One Night,1934,https://boxd.it/25Ng,3
2025-12-19,Roofman,2025,https://boxd.it/LcIW,3
2025-12-19,American Hustle,2013,https://boxd.it/5dz8,2.5
2025-12-19,13 Going on 30,2004,https://boxd.it/1X6e,4.5
2025-12-21,Selena,1997,https://boxd.it/1KVS,4
2025-12-21,Tenet,2020,https://boxd.it/leq4,2.5
2025-12-23,One Battle After Another,2025,https://boxd.it/DUHM,3
2025-12-23,The Untouchables,1987,https://boxd.it/2b6i,3
2025-12-27,Companion,2025,https://boxd.it/F04o,3.5
2025-12-27,Uncut Gems,2019,https://boxd.it/gXGc,4
2025-12-29,Polite Society,2023,https://boxd.it/AU9u,4
2025-12-29,Good Time,2017,https://boxd.it/fcFu,2
2025-12-31,Black Bag,2025,https://boxd.it/KRbM,4
2026-01-04,Zootopia 2,2025,https://boxd.it/F0vO,4
2026-01-26,We Live in Time,2024,https://boxd.it/FC5u,3
2026-02-13,Love Jones,1997,https://boxd.it/1s3S,4
2026-03-07,"Sorry, Baby",2025,https://boxd.it/JKNi,4.5
2026-03-11,Hoppers,2026,https://boxd.it/OFpg,4.5
2026-04-03,Crime 101,2026,https://boxd.it/IoGs,3
2026-04-04,The Drama,2026,https://boxd.it/OA2w,4
2026-04-06,All the President's Men,1976,https://boxd.it/29lU,4
2026-04-06,Past Lives,2023,https://boxd.it/oNB8,4
2026-04-08,No Reservations,2007,https://boxd.it/256w,3
2026-04-11,"You, Me & Tuscany",2026,https://boxd.it/TTRe,3
