Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-10-27,Superman,2025,https://boxd.it/bvdsUz,3.5,,,2025-10-26
2025-10-27,Babygirl,2024,https://boxd.it/bvjIJJ,2.5,,,2025-10-26
2025-10-27,Mickey 17,2025,https://boxd.it/bvsbR9,4,,,2025-10-26
2025-10-27,What's Your Number?,2011,https://boxd.it/bvx8Jh,4,,,2025-10-26
2025-10-28,Life As We Know It,2010,https://boxd.it/bvMCBd,3,,,2025-10-26
2025-11-15,Now You See Me,2013,https://boxd.it/bIjKtP,4,,,2025-11-14
2025-11-15,Jurassic World Rebirth,2025,https://boxd.it/bIm30V,1.5,Yes,,2025-11-14
2025-11-15,Now You See Me 2,2016,https://boxd.it/bIupu5,3,,,2025-11-14
2025-11-26,Thunderbolts*,2025,https://boxd.it/bQ8eCl,4,,,2025-11-25
2025-11-26,The Fantastic 4: First Steps,2025,https://boxd.it/bQd0QD,4,,,2025-11-25
2025-11-26,The Marvels,2023,https://boxd.it/bQnIfV,3,,,2025-11-25
2025-11-27,Spotlight,2015,https://boxd.it/bR0I0f,4,,,2025-11-26
2025-11-28,The Master,2012,https://boxd.it/bRCscv,3,,,2025-11-27
2025-11-30,Caught Stealing,2025,https://boxd.it/bSOcsF,4,,,2025-11-29
2025-12-01,Madame Web,2024,https://boxd.it/bTNe51,2,,,2025-11-30
2025-12-02,First Daughter,2004,https://boxd.it/bUqEXB,2,,,2025-12-01
2025-12-02,Me Before You,2016,https://boxd.it/bUti09,3,,,2025-12-02
2025-12-08,Drive Me Crazy,1999,https://boxd.it/bYdpZ3,4,,,2025-12-07
2025-12-11,Bride Hard,2025,https://boxd.it/c0mu4d,1.5,,,2025-12-10
2025-12-13,Waiting to Exhale,1995,https://boxd.it/c1ObCP,5,Yes,,2025-12-12
2025-12-15,The Philadelphia Story,1940,https://boxd.it/c3p4oz,4.5,,,2025-12-14
2025-12-17,Wake Up Dead Man,2025,https://boxd.it/c5ntHF,4,,,2025-12-16
2025-12-17,Materialists,2025,https://boxd.it/c5ra0Z,3,,,2025-12-17
2025-12-18,This Is Spinal Tap,1984,https://boxd.it/c5XszH,4,,,2025-12-17
2025-12-18,In the Mood for Love,2000,https://boxd.it/c62qsp,4.5,,,2025-12-17
2025-12-18,It Happened One Night,1934,https://boxd.it/c6gbix,3,,,2025-12-17
2025-12-19,Roofman,2025,https://boxd.it/c6JKsl,3,,,2025-12-18
2025-12-19,American Hustle,2013,https://boxd.it/c6Ru99,3.5,,,2025-12-18
2025-12-19,13 Going on 30,2004,https://boxd.it/c6X7g9,4.5,,,2025-12-18
2025-12-21,Wake Up Dead Man,2025,https://boxd.it/c8R1mV,4,Yes,,2025-12-20
2025-12-21,Selena,1997,https://boxd.it/c9cdZR,4,Yes,,2025-12-20
2025-12-21,Tenet,2020,https://boxd.it/c9jchX,2.5,Yes,,2025-12-21
2025-12-23,One Battle After Another,2025,https://boxd.it/cba58T,3,Yes,,2025-12-22
2025-12-23,The Untouchables,1987,https://boxd.it/cboiZp,3,Yes,,2025-12-22
2025-12-27,Eternals,2021,https://boxd.it/cfQBYx,3,,,2025-12-26
2025-12-27,Companion,2025,https://boxd.it/cfXPkv,3.5,,,2025-12-26
2025-12-27,Uncut Gems,2019,https://boxd.it/cg637h,4,,,2025-12-26
2025-12-29,Polite Society,2023,https://boxd.it/cieVpN,4,Yes,,2025-12-28
2025-12-29,Good Time,2017,https://boxd.it/ciDM89,2,,,2025-12-28
2025-12-31,Black Bag,2025,https://boxd.it/ckJfar,4,Yes,,2025-12-30
2026-01-04,Zootopia 2,2025,https://boxd.it/cpXujV,4,Yes,,2026-01-03
2026-01-26,We Live in Time,2024,https://boxd.it/cPXfIl,3,Yes,,2026-01-25
2026-01-27,The Broken Hearts Gallery,2020,https://boxd.it/cR2KDv,4,,,2026-01-26
2026-02-13,Love Jones,1997,https://boxd.it/d6zMAT,4,,,2026-02-12
2026-03-07,"Sorry, Baby",2025,https://boxd.it/dqguW5,4.5,,,2026-03-06
2026-03-11,Hoppers,2026,https://boxd.it/dtlv9P,4.5,,,2026-03-10
2026-04-03,Crime 101,2026,https://boxd.it/dNEf9x,3,,,2026-04-02
2026-04-04,The Drama,2026,https://boxd.it/dOLuRd,4,,,2026-04-03
2026-04-06,All the President's Men,1976,https://boxd.it/dQW1UR,4,Yes,,2026-04-05
2026-04-06,Past Lives,2023,https://boxd.it/dR36ol,4,Yes,,2026-04-05
2026-04-08,No Reservations,2007,https://boxd.it/dT5yHd,3,,,2026-04-07
2026-04-11,"You, Me & Tuscany",2026,https://boxd.it/dVnjrj,3,,,2026-04-10
