Date,Name,Year,Letterboxd URI
2022-04-13,The Worst Person in the World,2021,https://boxd.it/oyws
2022-04-13,Drive My Car,2021,https://boxd.it/sv94
2022-04-13,Dog Day Afternoon,1975,https://boxd.it/29bg
2022-04-13,Gilda,1946,https://boxd.it/251G
2025-12-17,Eternity,2025,https://boxd.it/LYtK
2025-12-17,Frankenstein,2025,https://boxd.it/Ecsg
